siren,etatAdministratifUniteLegale,nomUniteLegale,nomUsageUniteLegale,denominationUniteLegale,denominationUsuelle1UniteLegale,denominationUsuelle2UniteLegale,denominationUsuelle3UniteLegale,dateDernierTraitementUniteLegale,caractereEmployeurUniteLegale,identifiantAssociationUniteLegale
007926660,A,,,COPROPRIETE CLEMENCEAU,,,,2019-06-24T13:04:23,O,
007926678,A,,,COPROPRIETE FONTAINE,,,,2019-06-24T13:04:23,O,
007926686,A,,,COPROPRIETE PRIEUR,,,,2019-06-24T13:04:23,O,
007926777,A,,,COPROPRIETE DESBRULYS,,,,2012-05-05T00:05:38,O,
007926850,A,,,COPROPRIETE FLAUBERT,,,,2012-05-05T00:05:38,O,
007926868,A,,,COPROPRIETE JOUVENEL N 20,,,,2018-09-29T12:00:20,O,
007927346,A,,,COPROPRIETE CARNOT,,,,2019-06-24T13:04:23,O,
007927429,A,,,COPROPRIETE VIALLE N°9,,,,2019-06-24T13:04:23,O,
007927510,A,,,COPROPRIETE VIDALIE,,,,2018-09-29T12:00:20,O,
007927544,A,,,PROPRIETE CREDIT AGRICOLE,,,,2019-06-24T13:04:23,O,
007927577,A,,,COPROPRIETE DUNANT,,,,2019-06-24T13:04:23,O,
007927585,A,,,COPROPRIETE MERMOZ,,,,2019-06-24T13:04:23,O,
007927759,A,,,EVECHE DE TULLE,,,,2011-11-29T00:10:47,O,
007928500,A,,,COPROPRIETE PERI 11,,,,2018-09-29T12:00:20,O,
008020034,A,,,SOVIM COP MANIGNE 8,,,,2019-06-24T13:04:23,O,
008020406,A,,,TOURNIEROUX COP LOUYAT 90,,,,2019-06-24T13:04:23,O,
008020497,A,,,GESTRIM COP J D'ARC,,,,2019-06-24T13:04:23,O,
008020513,A,,,COPROPRIETE LE MONTLHERY,,,,2019-06-24T13:04:23,O,
008020521,A,,,GESTRIM COP RENOIR,,,,2019-06-24T13:04:23,O,
008020547,A,,,GESTRIM COP DU THEATRE,,,,2019-06-24T13:04:23,O,
008020554,A,,,GESTRIM COP F BUISSON 35,,,,2019-06-24T13:04:23,O,
008020596,A,,,GESTRIM LIMOUSIN RESIDENCE LES JACINTHES,,,,2019-06-24T13:04:23,O,
008020620,A,,,GESTRIM LIMOUSIN RES LA CORNICHE,,,,2019-06-24T13:04:23,O,
008020661,A,,,SYNDIC COPROP EDOUARD VAILLANT,,,,2019-06-24T13:04:23,O,
008020695,A,,,SYNDICAT DES COPROPRIETAIRES,,,,2019-06-24T13:04:23,O,
008020703,A,,,GESTRIM LIMOUSIN COPROPRIETE DU BESSOL,,,,2019-06-24T13:04:23,O,
008020752,A,,,GESTRIM COP 3 ET 5 RUE VOCHAVE,,,,2019-06-24T13:04:23,O,
008020836,A,,,CO IMM EDOUARD VAILLANT,,,,2019-06-24T13:04:23,O,
008020844,A,,,SYND GESTRIM COP GARIBALDI 53,,,,2019-06-24T13:04:23,O,
008020877,A,,,SYND COPROPRIETAIRES 44 RUE CHATEAUROUX,,,,2018-09-29T12:00:20,O,
008021057,A,,,SOVIM COP F VILLON,,,,2019-06-24T13:04:23,O,
008021107,A,,,UFFI COP BREMONTIER 7,,,,2019-06-24T13:04:23,O,
008021289,A,,,GESTRIM COP GAMBETTA 40,,,,2019-06-24T13:04:23,O,
008021305,A,,,CO IMM EDISON VENTADOUR,,,,2019-06-24T13:04:23,O,
008021347,A,,,GESTRIM POUR LA RLF,,,,2019-06-24T13:04:23,O,
008021354,A,,,GESTRIM COP F PERRIN 96,,,,2019-06-24T13:04:23,O,
008021362,A,,,GESTRIM COP DES ARTS 3,,,,2019-06-24T13:04:23,O,
008021396,A,,,GESTRIM COP FRESNEL 22,,,,2019-06-24T13:04:23,O,
008021461,A,,,GESTRIM COP T BAC 93,,,,2019-06-24T13:04:23,O,
008021495,A,,,GESTRIM COP GAY LUSSAC 12,,,,2019-06-24T13:04:23,O,
008021503,A,,,SDC ELISEE RECLUS,,,,2019-06-24T13:04:23,O,
008021529,A,,,GESTRIM COP RESIDENCE,,,,2019-06-24T13:04:23,O,
008021537,A,,,GESTRIM COP LE SIEGFRIED,,,,2019-06-24T13:04:23,O,
008021586,A,,,GESTRIM COP A BAUDIN 81,,,,2019-06-24T13:04:23,O,
008021594,A,,,GESTRIM COP GAI VERTHAMONT,,,,2019-06-24T13:04:23,O,
008021610,A,,,GESTRIM COP VOLTAIRE,,,,2019-06-24T13:04:23,O,
008021628,A,,,GESTRIM COP MONMEILLANT 3,,,,2019-06-24T13:04:23,O,
008021636,A,,,GESTRIM COP MONTALEMBERT,,,,2019-06-24T13:04:23,O,
008021644,A,,,GESTRIM COP P CURIE,,,,2019-06-24T13:04:23,O,
008021651,A,,,GESTRIM COP GRAND TILLEUL,,,,2019-06-24T13:04:23,O,
008021677,A,,,COPROPRIETE PERICHON BEY,,,,2019-06-24T13:04:23,O,
008021685,A,,,GESTRIM COP DU MIDI 18,,,,2019-06-24T13:04:23,O,
008021735,A,,,GESTRIM COP INGRES MONTEGU,,,,2019-06-24T13:04:23,O,
008021776,A,,,GESTRIM COP ROUSSILLON,,,,2019-06-24T13:04:23,O,
008021792,A,,,GESTRIM COP CHINCHAUVAUD,,,,2018-09-29T12:00:20,O,
008021834,A,,,GESTRIM COP LA SORRENTINE,,,,2019-06-24T13:04:23,O,
008021859,A,,,GESTRIM COP DUT COULANGES,,,,2019-06-24T13:04:23,O,
008021867,A,,,GESTRIM IMM F PERRIN 97,,,,2019-06-24T13:04:23,O,
008021909,A,,,GESTRIM COP JEAN JAURES 5,,,,2019-06-24T13:04:23,O,
008021925,A,,,GESTRIM COP FOURIE 18,,,,2019-06-24T13:04:23,O,
008021933,A,,,GESTRIM ZUP AURENCE B8 9,,,,2019-06-24T13:04:23,O,
008022162,A,,,COP 73 RUE D'ANTONY,,,,2019-06-24T13:04:23,O,
008022279,A,,,UFFI COP BUISSON 25 THOMAS,,,,2019-06-24T13:04:23,O,
008022287,A,,,UFFI COP FERDINAND BUISSON,,,,2019-06-24T13:04:23,O,
008022311,A,,,UFFI RES V SARDOU GR5,,,,2019-06-24T13:04:23,O,
008022329,A,,,UFFI RES VICTORIEN SARDOU,,,,2019-06-24T13:04:23,O,
008022352,A,,,UFFI RES V SARDOU GR9,,,,2019-06-24T13:04:23,O,
008022386,A,,,UFFI RES DUMONT DE LATTRE,,,,2019-06-24T13:04:23,O,
008022394,A,,,UFFI COP HYACINTHE FAURE 26,,,,2019-06-24T13:04:23,O,
008022428,A,,,UFFI RES ARGENTIERS PIERRE,,,,2019-06-24T13:04:23,O,
008022444,A,,,UFFI COP PETIT TREUIL 44,,,,2019-06-24T13:04:23,O,
008022501,A,,,UFFI COP JEAN JAURES,,,,2019-06-24T13:04:23,O,
008022600,A,,,UFFI COP IMM AINE1 DARNET15,,,,2018-09-29T12:00:20,O,
008022634,A,,,UFFI COP DU CHINCHAUVAUD 3,,,,2019-06-24T13:04:23,O,
008022675,A,,,UFFI RES LES PALMIERS,,,,2019-06-24T13:04:23,O,
008022709,A,,,UFFI RES CASSEAUX BOUGAINVI,,,,2019-06-24T13:04:23,O,
008022717,A,,,RESIDENCE COUDAMY,,,,2018-09-29T12:00:20,O,
008022758,A,,,UFFI COP LA ROSE DES VENTS1,,,,2019-06-24T13:04:23,O,
008022865,A,,,UFFI COP LE CONSUL,,,,2019-06-24T13:04:23,O,
008022931,A,,,RESIDENCE LES VIGNES,,,,2011-11-29T00:10:49,O,
008023285,A,,,GESTRIM COP BENEDICTINS,,,,2019-06-24T13:04:23,O,
008023319,A,,,SYND COP LES DEUX TOURS,,,,2019-06-24T13:04:23,O,
008023376,A,,,GESTRIM COP CITE 16,,,,2019-06-24T13:04:23,O,
008023459,A,,,VRANCKX COP DUTREIX 4,,,,2011-11-29T00:10:49,O,
008023491,A,,,GESTRIM COP VENASSIER 6,,,,2019-06-24T13:04:23,O,
008023624,A,,,MIDI IMM COP CLEMENCEAU,,,,2011-11-29T00:10:50,O,
008023640,A,,,UFFI RES V SARDOU GR1 F3,,,,2019-06-24T13:04:23,O,
008023699,A,,,GESTRIM COP VAURIOL 26,,,,2019-06-24T13:04:23,O,
008023731,A,,,VRANCKX COP DE GAULLE,,,,2019-06-24T13:04:23,O,
008023764,A,,,GESTRIM COP OFFENBACH,,,,2019-06-24T13:04:23,O,
008023954,A,,,GESTRIM SYNDICAT IMMEUBLE,,,,2019-06-24T13:04:23,O,
008024051,A,,,GESTRIM COP CH DE JUILLET,,,,2019-06-24T13:04:23,O,
008024101,A,,,GESTRIM RES L AURENCE BAT,,,,2019-06-24T13:04:23,O,
008024135,A,,,COUDERC JEAN,,,,2011-11-29T00:10:50,O,
008024416,A,,,GESTRIM COP CHINCHAUVAUD 1,,,,2019-06-24T13:04:23,O,
008024424,A,,,GESTRIM COP HTS BEL AIR,,,,2019-06-24T13:04:23,O,
008024465,A,,,MIDI IMM COP 39 RUE HOCHE,,,,2019-06-24T13:04:23,O,
008024481,A,,,GESTRIM LIMOUS RESIDENCE LES CASSEAUX 43,,,,2019-06-24T13:04:23,O,
008024499,A,,,VRANCKX COP DUTREIX 87,,,,2019-10-29T18:00:20,O,
008024507,A,,,ROMECKI HENRI,,,,2018-09-29T12:00:20,O,
008024648,A,,,GESTRIM COP ST MAURICE,,,,2019-06-24T13:04:23,O,
008024655,A,,,SYNDICAT DE COPROPRIETAIRES 12 AVENUE DE TURENNE,,,,2019-06-24T13:04:23,O,
008024689,A,,,GESTRIM IMMEUBLE MADOUMIER,,,,2019-06-24T13:04:23,O,
008024713,A,,,MIDI IMM AV TURENNE 12,,,,2019-06-24T13:04:23,O,
008024739,A,,,RESIDENCE LA COLLEGIALE,,,,2019-06-24T13:04:23,O,
008024762,A,,,MIDI IMM COOPERATEURS 13,,,,2019-10-29T18:00:20,O,
008024770,A,,,RESIDENCE FONTAINE VANTEAUX,,,,2019-06-24T13:04:23,O,
008024788,A,,,GESTRIM COP CHANTELAUVE 41,,,,2019-06-24T13:04:23,O,
008025256,A,,,GESTRIM IMM GAMBETTA 6 8,,,,2019-06-24T13:04:23,O,
008025272,A,,,GESTRIM COP DE BELFORT 14,,,,2019-06-24T13:04:23,O,
008025306,A,,,SOVIM COP DES GEMEAUX,,,,2019-06-24T13:04:23,O,
008025363,A,,,GESTRIM COP P ASTIER 1,,,,2019-06-24T13:04:23,O,
008025439,A,,,COSTE BRUNO COP VAL VIENNE,,,,2019-06-24T13:04:23,O,
008025520,A,,,MIDI IMM COP SYMPHONIE,,,,2019-06-24T13:04:23,O,
008025959,A,,,MIDI IMM COP CLAIRETTES,,,,2019-06-24T13:04:23,O,
008026049,A,,,MIDI IMM COP LEONARD LIMOS,,,,2019-06-24T13:04:23,O,
008026262,A,,,SCIGLIANO DOMINIQUE,,,,2011-11-29T00:10:51,O,
008026288,A,,,BOUQUILLARD,,,,2011-11-29T00:10:51,O,
008026429,A,,,GESTRIM LA ROCHE,,,,2019-06-24T13:04:23,O,
008026437,A,,,GESTRIM IMM REPUBLIQUE,,,,2019-06-24T13:04:23,O,
008026445,A,,,GESTRIM J B BLANC,,,,2019-06-24T13:04:23,O,
008108847,A,,,MIDI IMM COP QUINET SARDOU,,,,2011-11-29T00:10:51,O,
008108862,A,,,MIDI IMM COP L'ETRIER,,,,2019-06-24T13:04:23,O,
008119240,A,,,PRO GEST IMM COP D DUSSOUBS,,,,2019-06-24T13:04:23,O,
008119414,A,,,SOVIM COP DES ALLOIS,,,,2018-09-29T12:00:20,O,
008119430,A,,,SOVIM COP DE LA CITE,,,,2019-06-24T13:04:23,O,
008122418,A,,,GESTRIM COP 17 B ST BENOIT,,,,2019-06-24T13:04:23,O,
008122426,A,,,GESTRIM COP LE TURGOT,,,,2018-09-29T12:00:20,O,
008127920,A,,,MIDI IMM COP MIRABEAU,,,,2019-06-24T13:04:23,O,
